,celeb_bd,partner_bd,celeb_nominated,partner_nominated,marriage_status,celeb_gender,partner_gender
 Uta Hagen / José Ferrer,1912-1-8,1919-6-12,True,False,"
(8 December 1938            - 
14 June 1948) (    divorced) (    1 child)          ",Male,Female
               Mary Alice Moore          / Broderick Crawford,1911-12-9,-1,True,False,"
(8 August 1973            - 
26 April 1986) (    his death)          ",Male,-1
 Joan Tabor / Broderick Crawford,1911-12-9,1932-9-16,True,False,"
(4 January 1962            - 
26 April 1967) (    divorced)          ",Male,Female
 Kay Griffith / Broderick Crawford,1911-12-9,1915-9-10,True,False,"
(20 November 1940            - 
19 August 1958) (    divorced) (    2 children)          ",Male,Female
 Benita Hume / Ronald Colman,1891-2-9,1906-10-14,True,False,"
(30 September 1938            - 
19 May 1958) (    his death) (    1 child)          ",Male,Female
 Thelma Raye / Ronald Colman,1891-2-9,1890-9-6,True,False,"
(18 September 1920            - 
1 August 1934) (    divorced)          ",Male,Female
 Florence Eldridge / Fredric March,1897-8-31,1901-9-5,True,False,"
(30 May 1927            - 
14 April 1975) (    his death) (    2 children)          ",Male,Female
               Ellis Baker          / Fredric March,1897-8-31,-1,True,False,"
(3 May 1925            - 
17 January 1927) (    divorced)          ",Male,-1
               Muriel Frances Weber          / Ray Milland,1907-1-3,-1,True,False,"
(30 September 1932            - 
10 March 1986) (    his death) (    2 children)          ",Male,-1
 Kathryn Grant / Bing Crosby,1903-5-2,1933-11-25,True,False,"
(24 October 1957            - 
14 October 1977) (    his death) (    3 children)          ",Male,Female
 Dixie Lee / Bing Crosby,1903-5-2,1911-11-4,True,False,"
(29 September 1930            - 
1 November 1952) (    her death) (    4 children)          ",Male,Female
               Annette M. Driesens          / Paul Lukas,1891-5-26,-1,True,False,"
(7 November 1963            - 
16 August 1971) (    his death)          ",Male,-1
"               Gizella ""Daisy"" Benes          / Paul Lukas",1891-5-26,-1,True,False,"
(1927            - 
1962) (    her death)          ",Male,-1
               ?          / Paul Lukas,1891-5-26,-1,True,False,"
(1916            - 
1917) (    divorced)          ",Male,-1
 Renée Asherson / Robert Donat,1905-3-18,1915-5-19,True,False,"
(4 May 1953            - 
9 June 1958) (    his death)          ",Male,Female
               Ella Annesley Voysey          / Robert Donat,1905-3-18,-1,True,False,"
(6 August 1929            - 
10 December 1946) (    divorced) (    3 children)          ",Male,-1
 Bella Muni / Paul Muni,1895-9-22,1898-2-8,True,False,"
(8 May 1921            - 
25 August 1967) (    his death)          ",Male,-1
               Margaret Pumphrey          / Victor McLaglen,1886-12-10,-1,True,False,"
(19 December 1948            - 
7 November 1959) (    his death)          ",Male,-1
               Suzanne Marie Brueggeman          / Victor McLaglen,1886-12-10,-1,True,False,"
(20 November 1943            - 
10 December 1948) (    divorced)          ",Male,-1
               Enid Mary Lamont          / Victor McLaglen,1886-12-10,-1,True,False,"
(28 November 1919            - 
2 April 1942) (    her death) (    2 children)          ",Male,-1
 Elsa Lanchester / Charles Laughton,1899-7-1,1902-10-28,True,True,"
(9 February 1929            - 
15 December 1962) (    his death)          ",Male,Female
 Rita Gilman / Wallace Beery,1885-4-1,1898-6-26,True,False,"
(4 August 1924            - 
1 May 1939) (    divorced) (    1 child)          ",Male,Female
 Gloria Swanson / Wallace Beery,1885-4-1,1899-3-27,True,True,"
(27 March 1916            - 
1 March 1919) (    divorced)          ",Male,Female
 Irene Fenwick / Lionel Barrymore,1878-4-28,1887-9-5,True,False,"
(14 July 1923            - 
24 December 1936) (    her death)          ",Male,Female
 Doris Rankin / Lionel Barrymore,1878-4-28,1887-8-24,True,False,"
(19 June 1904            - 
21 December 1922) (    divorced) (    2 children)          ",Male,Female
 Emilie Livingston / Jeff Goldblum,1952-10-22,1983-1-4,True,False,"
(8 November 2014            - 
present) (    2 children)          ",Male,Female
 Geena Davis / Jeff Goldblum,1952-10-22,1956-1-21,True,True,"
(1 November 1987            - 
17 October 1990) (    divorced)          ",Male,Female
 Patricia Gaul / Jeff Goldblum,1952-10-22,1945-10-31,True,False,"
(4 July 1980            - 
1985) (    divorced)          ",Male,Female
 Elsa Pataky / Chris Hemsworth,1983-8-11,1976-7-18,False,False,"
(26 December 2010            - 
present) (    3 children)          ",Male,Female
 Winifred Bryson / Warner Baxter,1889-3-29,1892-12-20,True,False,"
(29 January 1918            - 
7 May 1951) (    his death)          ",Male,Female
               Viola Caldwell          / Warner Baxter,1889-3-29,-1,True,False,"
(1911            - 
1913) (    divorced)          ",Male,-1
 Gussy Holl / Emil Jannings,1884-7-23,1888-2-22,True,False,"
(1923            - 
2 January 1950) (    his death) (    1 child)          ",Male,Female
 Hanna Ralph / Emil Jannings,1884-7-23,1885-9-25,True,False,"
(23 July 1919            - 
19 July 1921) (    divorced) (    1 child)          ",Male,Female
 Lucie Höflich / Emil Jannings,1884-7-23,1883-2-20,True,False,"
(?            - 
?) (    divorced)          ",Male,Female
 Marianne Leone / Chris Cooper,1951-7-9,1952-1-2,True,False,"
(8 July 1983            - 
present) (    1 child)          ",Male,Female
               Anastasia Lewis          / Jim Broadbent,1949-5-24,-1,True,False,"
(1987            - 
present)          ",Male,-1
 Paula O'Hara / James Coburn,1928-8-31,1955-10-31,True,False,"
(22 October 1993            - 
18 November 2002) (    his death)          ",Male,Female
               Beverly Kelly          / James Coburn,1928-8-31,-1,True,False,"
(14 November 1959            - 
12 April 1979) (    divorced) (    1 child)          ",Male,-1
               Sara Kapfer          / Cuba Gooding Jr.,1968-1-2,-1,True,False,"
(13 March 1994            - 
present) (    filed for divorce) (    3 children)          ",Male,-1
 Barbara Bain / Martin Landau,1928-6-20,1931-9-13,True,True,"
(31 January 1957            - 
1993) (    divorced) (    2 children)          ",Male,Female
               Elaine Rochelle Rogers          / Jack Palance,1920-2-18,-1,True,False,"
(6 May 1987            - 
10 November 2006) (    his death)          ",Male,-1
 Virginia Baker / Jack Palance,1920-2-18,1922-7-7,True,False,"
(21 April 1949            - 
5 June 1968) (    divorced) (    3 children)          ",Male,Female
 Phoebe Cates / Kevin Kline,1947-10-24,1963-7-16,True,False,"
(5 March 1989            - 
present) (    2 children)          ",Male,Female
               Honore Prendergast          / Don Ameche,1908-5-31,-1,True,False,"
(6 December 1932            - 
5 September 1986) (    her death) (    6 children)          ",Male,-1
 Len Wiseman / Kate Beckinsale,1973-7-26,1973-3-4,False,False,"
(9 May 2004            - 
5 November 2019) (    divorced)          ",Female,-1
 Jacob Pechenik / Zooey Deschanel,1980-1-17,-1,True,False,"
(21 June 2015            - 
present) (    filed for divorce) (    2 children)          ",Female,-1
 Benjamin Gibbard / Zooey Deschanel,1980-1-17,1976-8-11,True,False,"
(19 September 2009            - 
12 December 2012) (    divorced)          ",Female,Male
 Thomas Kail / Michelle Williams,1980-9-9,-1,True,False,"
(March 2020            - 
present) (    1 child)          ",Female,-1
 Phil Elverum / Michelle Williams,1980-9-9,1978-5-26,True,False,"
(July 2018            - 
2019) (    divorced)          ",Female,Male
 Paul W.S. Anderson / Milla Jovovich,1975-12-17,1965-3-4,False,False,"
(22 August 2009            - 
present) (    3 children)          ",Female,Male
 Luc Besson / Milla Jovovich,1975-12-17,1959-3-18,False,False,"
(14 December 1997            - 
2 May 2000) (    divorced)          ",Female,Male
 Shawn Andrews / Milla Jovovich,1975-12-17,1971-10-15,False,False,"
(2 October 1992            - 
25 November 1992) (    annulled)          ",Female,Male
 Daniel Craig / Rachel Weisz,1970-3-7,1968-3-2,True,True,"
(22 June 2011            - 
present) (    1 child)          ",Female,Male
 Dax Shepard / Kristen Bell,1980-7-18,1975-1-2,True,False,"
(17 October 2013            - 
present) (    2 children)          ",Female,Male
 Josh Kelley / Katherine Heigl,1978-11-24,1980-1-30,True,False,"
(23 December 2007            - 
present) (    3 children)          ",Female,Male
 Royston Langdon / Liv Tyler,1977-7-1,1972-5-1,False,False,"
(25 March 2003            - 
10 October 2009) (    divorced) (    1 child)          ",Female,Male
 Gian Luca Pasi De Preposulo / Jessica Chastain,1977-3-24,-1,True,False,"
(10 June 2017            - 
present) (    2 children)          ",Female,-1
 Brian Austin Green / Megan Fox,1986-5-16,1973-7-15,False,False,"
(24 June 2010            - 
present) (    separated) (    3 children)          ",Female,Male
 Allen Ludden / Betty White,1922-1-17,1917-10-5,True,False,"
(14 June 1963            - 
9 June 1981) (    his death)          ",Female,Male
 Lane Allan / Betty White,1922-1-17,1914-8-4,True,False,"
(8 November 1947            - 
17 July 1949) (    divorced)          ",Female,Male
               Frederick Richard (Dick) Barker          / Betty White,1922-1-17,-1,True,False,"
(7 July 1945            - 
18 December 1945) (    divorced)          ",Female,-1
 Rip Torn / Geraldine Page,1924-11-22,1931-2-6,True,True,"
(8 September 1963            - 
13 June 1987) (    her death) (    3 children)          ",Female,Male
 Alexander Schneider / Geraldine Page,1924-11-22,1908-10-21,True,False,"
(13 May 1954            - 
1956) (    divorced)          ",Female,Male
 Peter Palandjian / Eliza Dushku,1980-12-30,-1,False,False,"
(18 August 2018            - 
present) (    1 child)          ",Female,-1
               Clement Giraudet          / Robin Wright,1966-4-8,-1,True,False,"
(11 August 2018            - 
present)          ",Female,-1
 Sean Penn / Robin Wright,1966-4-8,1960-8-17,True,True,"
(27 April 1996            - 
22 July 2010) (    divorced) (    2 children)          ",Female,Male
 Dane Witherspoon / Robin Wright,1966-4-8,1957-12-27,True,False,"
(1986            - 
1988) (    divorced)          ",Female,Male
 Adam Brody / Leighton Meester,1986-4-9,1979-12-15,False,False,"
(15 February 2014            - 
present) (    1 child)          ",Female,Male
 Norton Simon / Jennifer Jones,1919-3-2,1907-2-2,True,False,"
(30 May 1971            - 
1 June 1993) (    his death)          ",Female,Male
 David O. Selznick / Jennifer Jones,1919-3-2,1902-5-10,True,False,"
(13 July 1949            - 
22 June 1965) (    his death) (    1 child)          ",Female,Male
 Robert Walker / Jennifer Jones,1919-3-2,1918-10-13,True,False,"
(2 January 1939            - 
20 June 1945) (    divorced) (    2 children)          ",Female,Male
 Charles Black / Shirley Temple,1928-4-23,1919-3-6,False,False,"
(16 December 1950            - 
4 August 2005) (    his death) (    2 children)          ",Female,Male
 John Agar / Shirley Temple,1928-4-23,1921-1-31,False,False,"
(19 September 1945            - 
5 December 1950) (    divorced) (    1 child)          ",Female,-1
 Brad Hall / Julia Louis-Dreyfus,1961-1-13,1958-3-21,True,False,"
(25 June 1987            - 
present) (    2 children)          ",Female,Male
 Jacques Pienaar / Olivia Thirlby,1986-10-6,-1,False,False,"
(28 December 2014            - 
present)          ",Female,-1
 Gregg Allman / Cher,1946-5-20,1947-12-8,True,False,"
(30 June 1975            - 
16 January 1979) (    divorced) (    1 child)          ",Female,Male
 Sonny Bono / Cher,1946-5-20,1935-2-16,True,False,"
(27 October 1964            - 
26 June 1975) (    divorced) (    1 child)          ",Female,Male
 Jack Fisk / Sissy Spacek,1949-12-25,1945-12-19,True,True,"
(12 April 1974            - 
present) (    2 children)          ",Female,Male
 Jerry Bick / Louise Fletcher,1934-7-22,1923-4-26,True,False,"
(18 July 1959            - 
30 November 1978) (    divorced) (    2 children)          ",Female,Male
 Duncan Campbell / Julie Christie,1940-4-14,-1,True,False,"
(26 January 2008            - 
present)          ",Female,-1
 Roald Dahl / Patricia Neal,1926-1-20,1916-9-13,True,False,"
(2 July 1953            - 
17 November 1983) (    divorced) (    5 children)          ",Female,Male
 Cyndi James Gossett / Louis Gossett Jr.,1936-5-27,-1,True,False,"
(25 December 1987            - 
1992) (    divorced)          ",Male,Female
               Christina Mangosing          / Louis Gossett Jr.,1936-5-27,-1,True,False,"
(21 August 1973            - 
1975) (    divorced) (    1 child)          ",Male,-1
               Hattie Glascoe          / Louis Gossett Jr.,1936-5-27,-1,True,False,"
(August 1964            - 
?) (    annulled)          ",Male,-1
 Aurore Giscard d'Estaing / Timothy Hutton,1960-8-16,-1,True,False,"
(21 January 2000            - 
2008) (    divorced) (    1 child)          ",Male,-1
 Debra Winger / Timothy Hutton,1960-8-16,1955-5-16,True,True,"
(16 March 1986            - 
1 March 1990) (    divorced) (    1 child)          ",Male,Female
 Helen Gahagan / Melvyn Douglas,1901-4-5,1900-11-25,True,False,"
(5 April 1931            - 
28 June 1980) (    her death) (    2 children)          ",Male,Female
               Rosalind Hightower          / Melvyn Douglas,1901-4-5,-1,True,False,"
(30 September 1925            - 
29 August 1927) (    divorced) (    1 child)          ",Male,-1
 Lois O'Connor / Jason Robards,1922-7-26,1936-4-8,True,False,"
(14 February 1970            - 
26 December 2000) (    his death) (    2 children)          ",Male,-1
 Lauren Bacall / Jason Robards,1922-7-26,1924-9-16,True,True,"
(4 July 1961            - 
10 September 1969) (    divorced) (    1 child)          ",Male,Female
 Rachel Taylor / Jason Robards,1922-7-26,-1,True,False,"
(26 April 1959            - 
22 May 1961) (    divorced)          ",Male,Female
